request_num,status_code,limit,remaining,reset,period,retry_after,response_time
107,429,1,0,1727415849,1,1,89.73193168640137
108,429,1,0,1727415849,1,1,64.32175636291504
109,429,1,0,1727415849,1,1,93.8420295715332
110,429,1,0,1727415849,1,1,94.21610832214355
111,429,1,0,1727415849,1,1,99.49064254760742
112,429,1,0,1727415849,1,1,101.49741172790527
113,429,1,0,1727415849,1,1,56.03623390197754
114,429,1,0,1727415849,1,1,58.98451805114746
115,429,1,0,1727415849,1,1,100.49629211425781
116,429,1,0,1727415849,1,1,67.97194480895996
117,429,1,0,1727415849,1,1,55.646657943725586
118,429,1,0,1727415849,1,1,49.062490463256836
119,429,1,0,1727415849,1,1,50.70090293884277
120,429,1,0,1727415849,1,1,82.45277404785156
121,429,1,0,1727415849,1,1,94.99549865722656
122,429,1,0,1727415849,1,1,53.595781326293945
123,429,1,0,1727415849,1,1,84.27786827087402
124,429,1,0,1727415849,1,1,96.5728759765625
125,429,1,0,1727415849,1,1,84.7311019897461
126,429,1,0,1727415849,1,1,93.08147430419922
127,429,1,0,1727415849,1,1,55.32503128051758
128,429,1,0,1727415849,1,1,103.71541976928711
129,429,1,0,1727415849,1,1,79.08463478088379
130,429,1,0,1727415849,1,1,87.42213249206543
131,429,1,0,1727415849,1,1,82.79633522033691
132,429,1,0,1727415849,1,1,50.80866813659668
133,429,1,0,1727415849,1,1,94.01726722717285
134,429,1,0,1727415849,1,1,98.43206405639648
135,429,1,0,1727415849,1,1,96.30203247070312
136,429,1,0,1727415849,1,1,86.17925643920898
137,429,1,0,1727415849,1,1,62.795400619506836
138,429,1,0,1727415849,1,1,83.63056182861328
139,429,1,0,1727415849,1,1,95.0310230255127
140,429,1,0,1727415849,1,1,86.4558219909668
141,429,1,0,1727415849,1,1,91.21084213256836
142,429,1,0,1727415849,1,1,99.07007217407227
143,429,1,0,1727415849,1,1,92.85974502563477
144,429,1,0,1727415849,1,1,120.88346481323242
145,429,1,0,1727415849,1,1,85.40654182434082
146,429,1,0,1727415849,1,1,88.47498893737793
147,429,1,0,1727415849,1,1,53.14970016479492
148,429,1,0,1727415849,1,1,96.37665748596191
149,429,1,0,1727415849,1,1,95.88742256164551
150,429,1,0,1727415849,1,1,90.70086479187012
151,429,1,0,1727415849,1,1,121.55890464782715
152,429,1,0,1727415849,1,1,100.29864311218262
153,429,1,0,1727415849,1,1,85.50643920898438
154,200,1,0,1727415850,1,,213.75346183776855
155,429,1,0,1727415849,1,1,52.31976509094238
156,429,1,0,1727415850,1,1,157.41705894470215
157,429,1,0,1727415850,1,1,128.19457054138184
158,429,1,0,1727415850,1,1,149.75547790527344
159,429,1,0,1727415850,1,1,124.42469596862793
160,429,1,0,1727415850,1,1,121.79780006408691
161,429,1,0,1727415850,1,1,107.45620727539062
162,429,1,0,1727415850,1,1,107.17058181762695
163,429,1,0,1727415850,1,1,56.96296691894531
164,429,1,0,1727415850,1,1,52.65307426452637
165,429,1,0,1727415850,1,1,180.82666397094727
166,429,1,0,1727415850,1,1,86.09580993652344
167,429,1,0,1727415850,1,1,101.50456428527832
168,429,1,0,1727415850,1,1,63.543081283569336
169,429,1,0,1727415850,1,1,80.99651336669922
170,429,1,0,1727415850,1,1,101.93204879760742
171,429,1,0,1727415850,1,1,136.2621784210205
172,429,1,0,1727415850,1,1,98.74439239501953
173,429,1,0,1727415850,1,1,59.06939506530762
